Rm 	Rp02	K_p	n_p	sig_f_p	b	eps_f_p	c
441	262	1040	0.188	972	-0.1065	0.6986	-0.5662
415	228	915	0.2034	858	-0.1182	0.729	-0.5814
422	200	1379	0.2866	1196	-0.1615	0.608	-0.5633
430	254	1628	0.3083	827	-0.1099	0.1109	-0.3566
414	224	1016	0.239	772	-0.1119	0.3165	-0.4682
476	265	856	0.1811	869	-0.1046	1.0867	-0.5775
540	351	1695	0.2585	1285	-0.1246	0.3429	-0.4819
667	534	1071	0.1528	887	-0.0813	0.2912	-0.5322
451	290	1354	0.2717	822	-0.1117	0.1591	-0.4112
610	347	2016	0.2792	1596	-0.1466	0.4327	-0.5249
654	386	1491	0.2383	1077	-0.1077	0.2556	-0.4518
703	203	1158	0.1801	921	-0.0832	0.2809	-0.4619
827	625	1144	0.1261	1083	-0.0754	0.6478	-0.5975
945	621	1777	0.1971	1692	-0.114	0.7791	-0.5782
1200	1271	1334	0.0882	1330	-0.0599	0.9663	-0.6794
1324	786	2237	0.1727	2178	-0.1057	0.7795	-0.6123
925	814	1285	0.1255	1089	-0.0624	0.266	-0.4973
556	322	1123	0.1969	873	-0.0922	0.2776	-0.4684
565	217	1153	0.1958	1078	-0.1083	0.7088	-0.5529
517	290	754	0.1283	662	-0.0633	0.3609	-0.4933
507	262	894	0.1348	708	-0.062	0.1786	-0.4602
522	379	889	0.15	878	-0.0932	1.2464	-0.6536
632	379	1220	0.181	941	-0.1038	0.1374	-0.5054
558	375	964	0.1559	779	-0.0739	0.2556	-0.4738
614	460	1286	0.1785	965	-0.0831	0.2003	-0.4655
688	623	799	0.0868	865	-0.0646	2.5	-0.7447
551	424	781	0.1176	747	-0.0662	0.6839	-0.563
586	444	894	0.1383	769	-0.0752	0.3362	-0.5435
972	796	1565	0.132	1522	-0.091	0.8122	-0.6896
400	315	1193	0.2471	956	-0.1288	0.4072	-0.5212
938	890	1408	0.1298	1268	-0.0777	0.4463	-0.5983
627	482	1024	0.1609	868	-0.0856	0.3593	-0.5322
612	356	676	0.0795	670	-0.053	0.902	-0.667
503	376	782	0.1246	736	-0.0721	0.6137	-0.5788
538	365	1106	0.1779	916	-0.0872	0.3465	-0.4904
696	624	949	0.095	911	-0.0581	0.6517	-0.6114
858	741	908	0.744	929	-0.0539	1.3579	-0.7237
396.7	333.8	757.45	0.12232	757.57	-0.07590	1.001	-0.62049
396.6	323.2	1053.06	0.12608	757.46	-0.07733	0.073	-0.61334
393.2	325.8	1049.11	0.12657	753.93	-0.07751	0.073	-0.61243
392	323	1047	0.128	752	-0.078	0.076	-0.61
391.5	322.9	1047.14	0.12782	752.16	-0.07798	0.075	-0.61008
